time,paid_in,best_net,best_gross,bitcoin
2021-10-13 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19963.406851973654
2021-10-14 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,19956.774074687084
2021-10-15 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21461.669810270658
2021-10-16 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21184.370304457298
2021-10-17 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21411.527266764795
2021-10-18 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21579.090151930373
2021-10-19 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,22369.29891496695
2021-10-20 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,22968.13500155006
2021-10-21 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21642.881044081532
2021-10-22 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21119.17351407751
2021-10-23 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21327.45872862789
2021-10-24 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21176.244630289333
2021-10-25 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21951.075511463707
2021-10-26 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,20994.100770920853
2021-10-27 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,20327.562332758414
2021-10-28 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21080.08327941852
2021-10-29 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21663.955597726577
2021-10-30 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21526.66476377604
2021-10-31 00:00:00+00:00,2000.0,16199.570421643253,17244.36046790379,21332.000058302066
2021-11-01 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21296.738032933932
2021-11-02 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22103.848961535143
2021-11-03 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21990.738912363257
2021-11-04 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21465.774164658043
2021-11-05 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21305.680317743525
2021-11-06 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21492.206484269165
2021-11-07 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22122.589336285888
2021-11-08 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,23609.316409608713
2021-11-09 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,23407.168602339356
2021-11-10 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22685.09427124833
2021-11-11 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22647.274376905272
2021-11-12 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22419.302612936473
2021-11-13 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22509.427732330114
2021-11-14 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22907.695659169152
2021-11-15 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,22239.06985584205
2021-11-16 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20998.614382578584
2021-11-17 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,21098.609665763524
2021-11-18 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,19891.236548076835
2021-11-19 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20297.028595524753
2021-11-20 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20875.76703048117
2021-11-21 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20496.24297473145
2021-11-22 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,19665.91850508487
2021-11-23 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20118.376183465283
2021-11-24 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,19977.48073165456
2021-11-25 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20614.538094006948
2021-11-26 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,18784.613922706834
2021-11-27 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,19132.324793781736
2021-11-28 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20025.2372202218
2021-11-29 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,20200.533147251288
2021-11-30 00:00:00+00:00,2100.0,16299.570421643253,17344.36046790379,19911.843967625508
2021-12-01 00:00:00+00:00,2200.0,16399.570421643253,17444.36046790379,20093.486969641293
2021-12-02 00:00:00+00:00,2200.0,16399.570421643253,17444.36046790379,19846.058376718443
2021-12-03 00:00:00+00:00,2200.0,16399.570421643253,17444.36046790379,18834.33363456035
2021-12-04 00:00:00+00:00,2200.0,16399.570421643253,17444.36046790379,17271.191869239847
2021-12-05 00:00:00+00:00,2200.0,16399.570421643253,17444.36046790379,17356.879380960676
